date,hashtags,color,count
11/20/14 19:30,StandWith,41,22
11/20/14 19:40,StandWith,41,23
11/20/14 21:00,StandWith,41,33
11/20/14 21:12,StandWith,41,34
11/20/14 22:09,YisusPlxx,58,43
11/21/14 16:09,LoveTheatre,21,40
11/21/14 16:09,iWantCandy,13,80
11/21/14 16:09,ldalaunch,19,40
11/21/14 16:59,thewayitshouldbe,45,45
11/21/14 16:59,openingday,29,51
11/21/14 16:59,powderweekend,32,51
11/21/14 16:59,GoPro,8,50
11/21/14 16:59,VailOpening,49,50
11/21/14 17:10,Malaysia,22,51
11/21/14 17:10,PencintaRasulallah,31,51
11/21/14 17:10,WeLoveUlama,53,51
11/21/14 17:12,forwardnaija,6,51
11/21/14 17:12,prayfor_naija,35,51
11/21/14 17:12,voteGOodluck,52,51
11/21/14 17:20,Malaysia,22,50
11/21/14 17:20,PencintaRasulallah,31,50
11/21/14 17:20,WeLoveUlama,53,50
11/21/14 17:23,Malaysia,22,50
11/21/14 17:23,PencintaRasulallah,31,50
11/21/14 17:23,WeLoveUlama,53,50
11/21/14 17:25,Malaysia,22,51
11/21/14 17:25,PencintaRasulallah,31,51
11/21/14 17:25,WeLoveUlama,53,51
11/21/14 17:27,Malaysia,22,51
11/21/14 17:27,PencintaRasulallah,31,51
11/21/14 17:27,WeLoveUlama,53,51
11/21/14 17:27,Malaysia,22,57
11/21/14 17:27,PencintaRasulallah,31,57
11/21/14 17:27,WeLoveUlama,53,57
11/21/14 17:28,Malaysia,22,61
11/21/14 17:28,PencintaRasulallah,31,61
11/21/14 17:28,WeLoveUlama,53,61
11/21/14 17:29,Malaysia,22,60
11/21/14 17:29,PencintaRasulallah,31,60
11/21/14 17:29,WeLoveUlama,53,60
11/21/14 17:34,Malaysia,22,61
11/21/14 17:34,PencintaRasulallah,31,61
11/21/14 17:34,WeLoveUlama,53,61
11/21/14 17:43,Malaysia,22,62
11/21/14 17:43,PencintaRasulallah,31,62
11/21/14 17:43,WeLoveUlama,53,62
11/21/14 21:45,wethands,54,50
11/21/14 23:06,RipJoey,38,62
11/22/14 9:29,wethands,54,39
11/23/14 19:20,Justice,16,17
11/24/14 4:24,MoeMoneyEnt,26,17
11/24/14 4:24,MoeMoneyEnt,26,17
11/24/14 4:24,MoeMoneyEnt,26,17
11/24/14 4:24,MoeMoneyEnt,26,18
11/24/14 4:25,MoeMoneyEnt,26,18
11/24/14 4:25,MoeMoneyEnt,26,19
11/24/14 4:25,MoeMoneyEnt,26,20
11/24/14 4:25,MoeMoneyEnt,26,20
11/24/14 4:25,MoeMoneyEnt,26,20
11/24/14 4:25,MoeMoneyEnt,26,20
11/24/14 4:25,MoeMoneyEnt,26,20
11/24/14 4:26,MoeMoneyEnt,26,20
11/24/14 4:26,MoeMoneyEnt,26,20
11/24/14 4:37,MoeMoneyEnt,26,20
11/24/14 4:37,MoeMoneyEnt,26,20
11/24/14 4:37,MoeMoneyEnt,26,20
11/24/14 4:37,MoeMoneyEnt,26,20
11/24/14 17:45,MoeMoneyEnt,26,4
11/24/14 17:45,MoeMoneyEnt,26,6
11/24/14 17:45,MoeMoneyEnt,26,6
11/24/14 17:46,MoeMoneyEnt,26,7
11/24/14 17:46,MoeMoneyEnt,26,10
11/24/14 17:46,MoeMoneyEnt,26,12
11/24/14 17:46,MoeMoneyEnt,26,17
11/24/14 17:47,MoeMoneyEnt,26,18
11/24/14 17:47,MoeMoneyEnt,26,18
11/24/14 17:47,MoeMoneyEnt,26,19
11/24/14 17:48,MoeMoneyEnt,26,20
11/24/14 17:48,MoeMoneyEnt,26,20
11/24/14 17:48,MoeMoneyEnt,26,20
11/24/14 17:48,MoeMoneyEnt,26,21
11/24/14 17:48,MoeMoneyEnt,26,21
11/24/14 17:49,MoeMoneyEnt,26,21
11/24/14 17:49,MoeMoneyEnt,26,21
11/24/14 17:50,MoeMoneyEnt,26,22
11/24/14 17:50,MoeMoneyEnt,26,23
11/24/14 17:52,MoeMoneyEnt,26,23
11/24/14 17:52,MoeMoneyEnt,26,23
11/24/14 18:00,MoeMoneyEnt,26,23
11/24/14 18:01,MoeMoneyEnt,26,24
11/24/14 18:19,PrayForSnow,36,26
11/24/14 18:30,PrayForSnow,36,29
11/24/14 18:40,prayforsnow,36,30
11/24/14 18:55,prayforsnow,36,31
11/24/14 19:35,prayforsnow,36,29
11/24/14 23:53,indiana,11,45
11/25/14 2:36,mikebrownfamily,25,44
11/25/14 2:37,mikebrownfamily,25,45
11/25/14 2:37,mikebrownfamily,25,49
11/25/14 5:16,Justice,16,47
11/25/14 5:16,peacefor,30,47
11/25/14 5:17,Justice,16,47
11/25/14 5:17,peacefor,30,47
11/25/14 5:41,ferguson,5,47
11/25/14 5:41,justiceForMikebrown,17,47
11/25/14 5:41,MikeBrown,24,47
11/25/14 7:03,ferguson,5,45
11/25/14 7:03,smh,40,45
11/25/14 12:57,ferguson,5,36
11/25/14 12:57,MikeBrown,24,36
11/25/14 13:51,ferguson,5,37
11/25/14 14:59,MoeMoneyEnt,26,35
11/25/14 14:59,MoeMoneyEnt,26,36
11/25/14 17:20,PrayforSnow,36,31
11/25/14 20:47,ferguson,5,27
11/25/14 21:49,prayfor___2k14,33,25
11/25/14 21:50,prayfor___2k14,33,26
11/25/14 21:52,prayfor___2k15,34,28
11/25/14 21:54,prayfor___2k15,34,35
11/25/14 22:00,prayfor___2k14,33,42
11/25/14 23:55,PrayforSnow,36,50
11/26/14 0:17,ferguson,5,48
11/26/14 0:17,prayfortrevor,37,48
11/26/14 0:20,PrayforSnow,36,48
11/26/14 0:45,WinterWonderland,55,51
11/26/14 0:45,prayforsnow,36,51
11/26/14 0:45,skisunburst,39,51
11/26/14 1:01,PrayforSnow,36,54
11/26/14 1:01,Tahoe,43,54
11/26/14 1:12,UnaSemanaSinAlcohol,48,54
11/26/14 1:12,YaNoLoVuelvoAHacer,57,54
11/26/14 1:55,VoiceSaveReagan,51,51
11/26/14 1:55,VoiceSaveAnita,50,53
11/26/14 3:26,ferguson,5,56
11/26/14 3:34,ferguson,5,58
11/26/14 4:47,humanity,10,67
11/26/14 13:54,EwalAF2014,4,39
11/26/14 13:54,FWC,7,39
11/26/14 13:54,JuaraLagu,15,39
11/26/14 13:54,MyFavSinger,27,39
11/26/14 13:54,kembalikansemula,18,39
11/26/14 17:10,prayforsnow,36,27
11/26/14 18:20,prayforsnow,36,22
11/27/14 2:42,EwalAF2014,4,24
11/27/14 2:42,FWC,7,24
11/27/14 2:42,JuaraLagu,15,24
11/27/14 2:42,MyFavSinger,27,24
11/27/14 2:42,kembalikansemula,18,24
11/27/14 2:43,EwalAF2014,4,25
11/27/14 2:43,FWC,7,25
11/27/14 2:43,JuaraLagu,15,25
11/27/14 2:43,MyFavSinger,27,25
11/27/14 2:43,kembalikansemula,18,25
11/27/14 3:52,MH370,23,23
11/27/14 7:53,MH370,23,22
11/27/14 8:07,Justice,16,26
11/27/14 10:02,Justice,16,22
11/27/14 11:30,staystrong,42,28
11/27/14 11:31,staystrong,42,30
11/27/14 18:44,ferguson,5,11
11/27/14 18:44,MikeBrown,24,11
11/28/14 1:57,EwalAF2014,4,60
11/28/14 1:57,FWC,7,60
11/28/14 1:57,JuaraLagu,15,60
11/28/14 1:57,MyFavSinger,27,60
11/28/14 1:57,kembalikansemula,18,60
11/28/14 2:02,EwalAF2014,4,61
11/28/14 2:02,FWC,7,61
11/28/14 2:02,JuaraLagu,15,61
11/28/14 2:02,MyFavSinger,27,61
11/28/14 2:02,kembalikansemula,18,61
11/28/14 3:22,EwalAF2014,4,73
11/28/14 3:22,FWC,7,73
11/28/14 3:22,JuaraLagu,15,73
11/28/14 3:22,MyFavSinger,27,73
11/28/14 3:22,kembalikansemula,18,73
11/28/14 4:12,gospelfilms,9,73
11/28/14 4:12,indigenous,12,73
11/28/14 4:13,gospelfilms,9,78
11/28/14 4:13,indigenous,12,78
11/28/14 4:13,gospelfilms,9,81
11/28/14 4:13,indigenous,12,81
11/28/14 4:13,gospelfilms,9,83
11/28/14 4:13,indigenous,12,83
11/28/14 4:14,gospelfilms,9,83
11/28/14 4:14,indigenous,12,83
11/28/14 5:38,EwalAF2014,4,79
11/28/14 5:38,FWC,7,79
11/28/14 5:38,JuaraLagu,15,79
11/28/14 5:38,MyFavSinger,27,79
11/28/14 5:38,kembalikansemula,18,79
11/28/14 5:59,Cepot,3,78
11/28/14 16:08,nowords,28,60
11/28/14 16:13,centerstar,2,62
11/29/14 0:14,JanganMauMau,14,46
11/29/14 3:33,gospelfilms,9,47
11/29/14 3:33,indigenous,12,47
11/29/14 3:40,YaMeCanse,56,48
11/29/14 4:08,EwalAF2014,4,47
11/29/14 4:08,JuaraLagu,15,47
11/29/14 4:08,kembalikansemula,18,47
11/29/14 4:08,talentedsinger,44,47
11/29/14 4:20,EwalAF2014,4,47
11/29/14 4:20,JuaraLagu,15,47
11/29/14 4:20,kembalikansemula,18,47
11/29/14 4:20,talentedsinger,44,47
11/29/14 4:57,EwalAF2014,4,60
