date,hashtags,color,count
11/20/14,StandWith,41,78
11/20/14,YisusPlxx,58,43
11/21/14,wethands,54,50
11/21/14,WeLoveUlama,53,554
11/21/14,voteGOodluck,52,51
11/21/14,VailOpening,49,50
11/21/14,thewayitshouldbe,45,45
11/21/14,RipJoey,38,62
11/21/14,prayfor_naija,35,51
11/21/14,powderweekend,32,51
11/21/14,PencintaRasulallah,31,554
11/21/14,openingday,29,51
11/21/14,Malaysia,22,554
11/21/14,LoveTheatre,21,40
11/21/14,ldalaunch,19,40
11/21/14,iWantCandy,13,80
11/21/14,GoPro,8,50
11/21/14,forwardnaija,6,51
11/22/14,wethands,54,39
11/23/14,Justice,16,17
11/24/14,MoeMoneyEnt,26,725
11/24/14,PrayForSnow,36,145
11/24/14,indiana,11,45
11/25/14,ferguson,5,192
11/25/14,Justice,16,94
11/25/14,justiceForMikebrown,17,47
11/25/14,MikeBrown,24,83
11/25/14,mikebrownfamily,25,138
11/25/14,MoeMoneyEnt,26,71
11/25/14,peacefor,30,94
11/25/14,prayfor___2k14,33,93
11/25/14,prayfor___2k15,34,63
11/25/14,PrayforSnow,36,81
11/25/14,smh,40,45
11/26/14,EwalAF2014,4,39
11/26/14,ferguson,5,162
11/26/14,FWC,7,39
11/26/14,humanity,10,67
11/26/14,JuaraLagu,15,39
11/26/14,kembalikansemula,18,39
11/26/14,MyFavSinger,27,39
11/26/14,PrayforSnow,36,202
11/26/14,prayfortrevor,37,48
11/26/14,skisunburst,39,51
11/26/14,Tahoe,43,54
11/26/14,UnaSemanaSinAlcohol,48,54
11/26/14,VoiceSaveAnita,50,53
11/26/14,VoiceSaveReagan,51,51
11/26/14,WinterWonderland,55,51
11/26/14,YaNoLoVuelvoAHacer,57,54
11/27/14,EwalAF2014,4,49
11/27/14,ferguson,5,11
11/27/14,FWC,7,49
11/27/14,JuaraLagu,15,49
11/27/14,Justice,16,48
11/27/14,kembalikansemula,18,49
11/27/14,MH370,23,45
11/27/14,MikeBrown,24,11
11/27/14,MyFavSinger,27,49
11/27/14,staystrong,42,58
11/28/14,centerstar,2,62
11/28/14,Cepot,3,78
11/28/14,EwalAF2014,4,273
11/28/14,FWC,7,273
11/28/14,gospelfilms,9,398
11/28/14,indigenous,12,398
11/28/14,JuaraLagu,15,273
11/28/14,kembalikansemula,18,273
11/28/14,MyFavSinger,27,273
11/28/14,nowords,28,60
11/29/14,AMATFAMILY,1,53
11/29/14,EwalAF2014,4,216
11/29/14,gospelfilms,9,47
11/29/14,indigenous,12,47
11/29/14,JanganMauMau,14,46
11/29/14,JuaraLagu,15,216
11/29/14,kembalikansemula,18,216
11/29/14,llya,20,50
11/29/14,talentedsinger,44,216
11/29/14,TJ,46,50
11/29/14,tubagusahmadrifai,47,41
11/29/14,YaMeCanse,56,48
