Id,Label,weight,Degree,Modularity Class
lamercriminals,lamercriminals,40,8,47
justiceformikebrown,justiceformikebrown,47,3,65
shot,shot,17,10,21
labubebe,labubebe,40,8,47
being,being,17,10,21
prayfor...,prayfor...,183,10,86
riotfortheeightball,riotfortheeightball,34,3,65
openingday,openingday,80,5,73
ormaybenot,ormaybenot,17,0,0
prayfor..,prayfor..,73,0,1
redrivernm…http://t.co/vokd3m50go,redrivernm…http://t.co/vokd3m50go,30,2,73
getinmybelly,getinmybelly,10,0,2
police,police,17,10,21
juaralagu,juaralagu,577,5,58
justice,justice,48,1,65
prayfor......humanity,prayfor......humanity,67,0,3
prayfor...allofmyfriends,prayfor...allofmyfriends,109,0,4
olga.,olga.,38,2,65
mrbean,mrbean,37,3,5
tj,tj,50,1,65
moemoneyent🙌🙌💸,moemoneyent🙌💸🙌🙌💸🙌💸,24,0,6
"prayfor""","prayfor""",48,2,7
laketahoe...,laketahoe...,29,4,73
obama,obama,11,9,49
gottagomyownway,gottagomyownway,33,7,42
ชู3นิ้ว,ชู3นิ้ว,33,0,8
stadiumlarkin,stadiumlarkin,23,3,9
lakewood,lakewood,40,3,10
prayfor🙌💸🙌💸🐜,prayfor🙌💸🙌💸🐜🐜,259,0,11
kimberleybc,kimberleybc,31,2,12
ripjoey,ripjoey,62,1,65
smh,smh,45,2,65
prayfor?,prayfor?,28,0,13
indigenous,indigenous,445,3,77
majorlossthough,majorlossthough,16,0,14
tubagusahmadrifai,tubagusahmadrifai,41,1,65
prayfor$collapse,prayfor$collapse,13,1,15
fan,fan,36,6,86
prayfor…,prayfor…,57,0,16
prayfor_naija,prayfor_naija,51,2,38
vailopening,vailopening,50,1,17
unitered,unitered,11,9,49
trayvonmartin,trayvonmartin,36,6,65
discodown,discodown,18,3,30
prayfor.,prayfor.,216,0,18
thewayitshouldbe,thewayitshouldbe,45,0,19
prayfor🙌💸🙌💸🐜🐜😺,prayfor🙌💸🙌💸🐜🐜😺😺,52,0,20
justice!,justice!,17,10,21
prayfor@tseringg_,prayfor@tseringg_,127,0,22
51,51,100,2,34
prayfor@davelee1968sdogs,prayfor@davelee1968sdogs,13,0,23
prayfor@lipglossjill,prayfor@lipglossjill,4,0,24
bless,bless,36,6,65
prayfor....,prayfor....,46,3,30
yamecanse,yamecanse,48,1,65
moemoneyent🙌💸🙌💸🐜🐜😺😺💸🙌💸🙌💸🐜🐜😺😺💸💸🙌💸🙌💸🐜🐜😺😺💸💸💵🙌💸🙌💸🐜🐜😺😺💸💸💵💰,moemoneyent🙌💸🙌💸🐜🐜😺😺💸💸💵💰💸🙌💸🙌💸🐜🐜😺😺💸💸💵💰💸💸🙌💸🙌💸🐜🐜😺😺💸💸💵💰💸💸💵🙌💸🙌💸🐜🐜😺😺💸💸💵💰💸💸💵💰,22,0,25
prayforademvangeudi,prayforademvangeudi,33,0,26
sunghajung,sunghajung,40,3,10
prayforferguson,prayforferguson,75,6,7
lovemother,lovemother,37,4,65
49ersvsseahawks,49ersvsseahawks,24,0,27
prayfor(insertname),prayfor(insertname),44,0,28
ahlulbayt,ahlulbayt,16,1,29
twelve,twelve,17,10,21
guessthesong,guessthesong,18,3,30
arbaeenwalk,arbaeenwalk,30,0,31
lfc,lfc,40,8,47
stopviolence,stopviolence,36,6,65
smartmove,smartmove,29,0,32
allah,allah,20,0,33
50,50,155,3,34
malaysia,malaysia,554,3,65
moemoneyent🙌💸🙌💸🐜🐜😺😺💸💸💵💰💸💸💵💰💳,moemoneyent🙌💸🙌💸🐜🐜😺😺💸💸💵💰💸💸💵💰💳💳,20,0,35
moemoneyent🙌💸🙌💸🐜🐜😺😺💸💸💵💰💸💸💵💰💳💳💵,moemoneyent🙌💸🙌💸🐜🐜😺😺💸💸💵💰💸💸💵💰💳💳💵💵,19,0,36
snapchatting,snapchatting,37,3,5
cleveland,cleveland,17,10,21
prayforsnow,prayforsnow,397,9,73
moemoneyent🙌💸🙌💸🐜🐜😺😺💸💸💵💰💸💸💵💰💳💳💵💵💴🙌💸🙌💸🐜🐜😺😺💸💸💵💰💸💸💵💰💳💳💵💵💴💰,moemoneyent🙌💸🙌💸🐜🐜😺😺💸💸💵💰💸💸💵💰💳💳💵💵💴💰💴🙌💸🙌💸🐜🐜😺😺💸💸💵💰💸💸💵💰💳💳💵💵💴💰💴💰,20,0,37
fergusondecision,fergusondecision,31,2,65
votegoodluck,votegoodluck,51,2,38
itsthreeam,itsthreeam,17,0,39
ไม่มีเพื่อน,ไม่มีเพื่อน,33,0,40
prayfor___2k14,prayfor___2k14,42,0,41
janganmaumau,janganmaumau,46,1,65
dealwith,dealwith,33,7,42
ak6441,ak6441,15,2,83
forbiddenbeautypray,forbiddenbeautypray,33,3,65
"tahoe,","tahoe,",54,1,73
warmongerswon,warmongerswon,13,1,15
dies,dies,17,10,21
yisusplxx,yisusplxx,43,1,65
idothiseverysunday,idothiseverysunday,7,1,53
explorebc,explorebc,31,2,12
